epoch,loss,val loss,accuracy,val_accuracy,precision,val_precision,recall,val_recall,f1,val_f1
200,0.000351,0.000628,0.91,0.779662,0.940246,0.885679,0.927704,0.803076,0.928103,0.829657
201,0.000375,0.000596,0.913,0.806311,0.950543,0.870739,0.946216,0.855202,0.943646,0.852415
202,0.000368,0.000588,0.915,0.810378,0.963321,0.876718,0.945401,0.850721,0.949948,0.854201
203,0.000362,0.000571,0.9265,0.824824,0.964758,0.884758,0.955541,0.859426,0.957011,0.86174
204,0.000356,0.000648,0.921,0.791023,0.969161,0.817739,0.946216,0.89937,0.954385,0.845449
205,0.000386,0.0006,0.8845,0.81164,0.915538,0.862971,0.902722,0.866893,0.903431,0.853469
206,0.00033,0.000582,0.9335,0.816548,0.969849,0.873309,0.950774,0.862824,0.956157,0.857781
207,0.000347,0.000607,0.9325,0.798176,0.959333,0.890849,0.950956,0.82028,0.952551,0.841344
208,0.000366,0.000611,0.9125,0.783169,0.957355,0.868313,0.942317,0.821215,0.945103,0.832254
209,0.000352,0.000606,0.924,0.799859,0.951363,0.885769,0.952547,0.827054,0.948678,0.843953
210,0.000336,0.000613,0.9295,0.807293,0.96221,0.871757,0.957049,0.852696,0.957247,0.850312
211,0.000346,0.000611,0.9165,0.78948,0.949452,0.888543,0.946807,0.814199,0.944408,0.836844
212,0.000352,0.000615,0.9185,0.788779,0.960518,0.889436,0.94905,0.814143,0.949247,0.837317
213,0.000359,0.000593,0.9275,0.801402,0.95873,0.880563,0.961835,0.835891,0.956247,0.846732
214,0.000372,0.000605,0.91,0.793407,0.952244,0.892005,0.947649,0.818081,0.94579,0.841262
215,0.000404,0.0006,0.8945,0.823982,0.940884,0.88442,0.943283,0.858846,0.938181,0.85924
216,0.000348,0.000597,0.9255,0.803365,0.968821,0.889017,0.949424,0.833436,0.955939,0.848353
217,0.000381,0.00062,0.913,0.793828,0.957268,0.887335,0.949202,0.820596,0.948913,0.838172
218,0.000352,0.000606,0.922,0.785412,0.955365,0.866917,0.950105,0.836436,0.948592,0.83887
219,0.000373,0.000582,0.915,0.823982,0.955835,0.876145,0.950537,0.869237,0.948522,0.862875
220,0.000299,0.000595,0.933,0.798737,0.951337,0.892087,0.941581,0.823756,0.943993,0.843944
221,0.000331,0.000621,0.9365,0.767461,0.969474,0.890712,0.9625,0.788194,0.963437,0.822562
222,0.000312,0.000583,0.918,0.815988,0.953623,0.887766,0.936446,0.85107,0.93913,0.857717
223,0.000361,0.000582,0.9095,0.817811,0.946804,0.88839,0.94421,0.851219,0.941068,0.858151
224,0.00035,0.00063,0.932,0.793688,0.973307,0.891283,0.954625,0.816171,0.960723,0.838318
225,0.000312,0.00059,0.924,0.817951,0.945367,0.892282,0.936541,0.846323,0.93722,0.858057
226,0.000322,0.000577,0.9415,0.818654,0.97493,0.887009,0.963597,0.850542,0.966685,0.858129
227,0.000327,0.000588,0.9395,0.822439,0.976799,0.88352,0.958049,0.856203,0.964716,0.859146
228,0.000298,0.000579,0.9565,0.823,0.982236,0.886722,0.971897,0.856057,0.974595,0.860528
229,0.000314,0.000575,0.9425,0.820476,0.975125,0.889143,0.962396,0.854495,0.965107,0.860286
230,0.000316,0.000611,0.942,0.790181,0.975091,0.8954,0.964188,0.807453,0.966714,0.837246
231,0.000331,0.000626,0.9425,0.820476,0.973585,0.839145,0.964806,0.918389,0.966685,0.868744
232,0.000338,0.000585,0.9255,0.820897,0.973371,0.894163,0.946161,0.84899,0.954232,0.859843
233,0.000319,0.000624,0.9515,0.781766,0.976056,0.890261,0.972833,0.804635,0.972643,0.83225
234,0.000325,0.000598,0.9315,0.799999,0.968022,0.892951,0.955329,0.825516,0.956901,0.844804
235,0.000363,0.000611,0.919,0.804347,0.962558,0.888096,0.947561,0.834299,0.951881,0.848845
236,0.000302,0.000576,0.943,0.817671,0.973605,0.881791,0.962752,0.860141,0.965814,0.860321
237,0.000294,0.000584,0.949,0.812201,0.971861,0.890456,0.970653,0.843037,0.969263,0.85537
238,0.000291,0.000611,0.953,0.801963,0.966903,0.897043,0.962097,0.825329,0.962763,0.847744
239,0.000295,0.000617,0.9345,0.812902,0.972361,0.894745,0.953411,0.839707,0.957467,0.854142
240,0.000319,0.00061,0.9505,0.791444,0.97573,0.883747,0.971111,0.822098,0.971899,0.840928
241,0.000309,0.000582,0.949,0.819214,0.981327,0.897171,0.962583,0.844255,0.968816,0.858273
242,0.000337,0.000582,0.933,0.818513,0.964181,0.886118,0.964516,0.850653,0.960992,0.858027
243,0.00033,0.000577,0.921,0.825946,0.949595,0.881771,0.936462,0.867105,0.938618,0.864912
244,0.000334,0.000582,0.9335,0.823702,0.970288,0.898144,0.958222,0.850899,0.961623,0.862435
245,0.000334,0.000581,0.9335,0.815006,0.970593,0.893989,0.958236,0.842057,0.960493,0.856602
246,0.000294,0.000585,0.9455,0.818512,0.977389,0.891963,0.959379,0.848188,0.965693,0.85882
247,0.000297,0.000587,0.9575,0.816408,0.981764,0.902053,0.973222,0.834187,0.975467,0.855866
248,0.00032,0.000604,0.944,0.795651,0.97705,0.890778,0.962069,0.82248,0.966709,0.843165
249,0.000282,0.000597,0.959999,0.821738,0.986458,0.886975,0.971758,0.85393,0.977381,0.860191
250,0.000298,0.000603,0.953,0.813604,0.972599,0.88376,0.957611,0.846561,0.962699,0.854566
